textId,length,NrOfConnectivesPerNrOfToken,NrOfFiniteVerbPerNrOfToken,avgNumCharsPerToken,NrOfDiscourseReferentPerNrOfToken,avgNumCharsPerSentence,FN_AnnotationRatio_de_tudarmstadt_ukp_dkpro_core_api_syntax_type_chunk_NC_null_PER_de_tudarmstadt_ukp_dkpro_core_api_segmentation_type_Sentence_null,standardDevCharsPerToken,NrOfParagraphs,standardDevCharsPerSentence,NrOfChars,FN_AnnotationRatio_de_tudarmstadt_ukp_dkpro_core_api_segmentation_type_Token_null_PER_de_tudarmstadt_ukp_dkpro_core_api_segmentation_type_Sentence_null,LexicalDensity,READABILITY_MEASURE_LIX,READABILITY_MEASURE_ARI,READABILITY_MEASURE_SMOG,READABILITY_MEASURE_COLEMAN_LIAU,LexicalVariation,TypeTokenRatio,VerbVariation,READABILITY_MEASURE_KINCAID,READABILITY_MEASURE_FOG,READABILITY_MEASURE_FLESH,Label
00242.txt,353,0.050991501,0.059490085,4.06969697,0.269121813,71.82608696,4.043478261,1.95044437,6,33.59173316,1680,15.34782609,0.541076487,0,5.324820234,6.95628284,9.175644231,0.42408377,0.351274788,0.402985075,3.807486065,6.964548495,91.92591973,ARA
00246.txt,360,0.038888889,0.066666667,4.231884058,0.25,118.2666667,6.933333333,2.375874683,6,58.82116021,1795,24,0.5,7,10.08547391,10.74596669,10.56372204,0.627777778,0.455555556,0.584269663,9.248958466,12.18053248,65.91795314,ARA
00251.txt,268,0.02238806,0.082089552,3.962406015,0.25,433.3333333,24.33333333,2.391733932,1,173.413443,1302,89.33333333,0.410447761,99,37.68506329,17.49137675,8.729202532,0.618181818,0.417910448,0.529411765,31.00312236,35.1443038,13.49303797,ARA
00276.txt,255,0.019607843,0.082352941,4.032653061,0.266666667,110.6363636,5.818181818,2.435903868,4,21.25718158,1233,23.18181818,0.478431373,5,8.786067194,10.0064905,8.912247826,0.614754098,0.443137255,0.542372881,8.417588933,11.49407115,71.95401186,ARA
00281.txt,269,0.022304833,0.081784387,4.070588235,0.275092937,91.42857143,5.5,2.390118064,1,33.72094365,1293,19.21428571,0.405204461,5,7.275504202,9.380774695,9.467428571,0.633027523,0.442379182,0.612244898,7.252605042,9.993277311,73.34386555,ARA
00289.txt,379,0.01055409,0.063324538,4.190883191,0.224274406,64.5,3.821428571,2.485405162,4,29.74354672,1841,13.53571429,0.430079156,0,5.083541308,9.123724357,9.941885542,0.63190184,0.432717678,0.605633803,5.312598967,8.959724613,78.09277108,ARA
00293.txt,177,0.028248588,0.096045198,4.24260355,0.316384181,98,5.444444444,2.438659607,3,38,898,19.66666667,0.485875706,5,7.91830303,9.32455532,9.437593939,0.639534884,0.508474576,0.59375,7.650909091,10.24242424,72.8630303,ARA
00296.txt,482,0.018672199,0.058091286,4.423913043,0.273858921,112.4090909,5.636363636,2.34165352,6,46.38931998,2500,21.90909091,0.524896266,5,10.11153605,9.288517675,11.28030805,0.517786561,0.39626556,0.520408163,8.153087774,10.57575758,71.82637147,ARA
00314.txt,302,0.023178808,0.069536424,4.475862069,0.314569536,133.25,6.166666667,2.48188682,5,65.07575713,1607,25.16666667,0.516556291,7,11.83873626,11.21583836,11.57865934,0.730769231,0.526490066,0.629032258,9.793855311,13.05604396,65.36572802,ARA
00321.txt,299,0.016722408,0.090301003,4.463157895,0.2909699,109.2857143,6.071428571,2.988200866,5,32.11459075,1554,21.35714286,0.444816054,7,10.08196639,11.9042526,12.21775686,0.819548872,0.565217391,0.836363636,9.421806723,13.08963585,59.95455882,ARA
00335.txt,325,0.021538462,0.083076923,4.317757009,0.329230769,424.25,23.5,2.877341271,3,481.8326343,1713,81.25,0.489230769,99,35.90678218,14.93733639,8.537518152,0.672955975,0.489230769,0.606557377,29.56900165,32.80825083,17.98637376,ARA
00349.txt,342,0.023391813,0.084795322,4.40797546,0.339181287,109.5625,6,2.639215388,3,55.46842429,1774,21.375,0.479532164,7,9.71125,10.5,10.95026282,0.762195122,0.532163743,0.732142857,8.769487179,11.64615385,66.92134615,ARA
00354.txt,272,0.011029412,0.110294118,4.418604651,0.3125,98.92857143,5.428571429,2.408633291,5,29.52109242,1418,19.42857143,0.477941176,5,9.019777518,9.708203932,11.38072951,0.684615385,0.496323529,0.689655172,7.311241218,10.41405152,73.68680328,ARA
00356.txt,330,0.015151515,0.078787879,3.946708464,0.266666667,142.2727273,8,1.860405831,4,121.8822762,1580,30,0.484848485,5,11.65970194,8.477225575,8.242678689,0.5625,0.457575758,0.602739726,9.26757079,12.53353204,78.00394933,ARA
00362.txt,188,0,0.10106383,4.675977654,0.313829787,101.1,5.2,2.379153767,3,40.42635279,1022,18.8,0.563829787,5,9.685771429,10.14142843,12.16891429,0.660377358,0.563829787,0.547619048,7.755,10.88571429,70.6325,ARA
00396.txt,281,0.010676157,0.060498221,3.962686567,0.266903915,101.6153846,5.923076923,2.17312869,4,44.22588602,1334,21.61538462,0.459074733,0,7.698193202,9.445033866,8.216437984,0.612403101,0.427046263,0.608695652,7.334496124,10.72915921,77.82603757,ARA
00412.txt,302,0.01986755,0.079470199,3.910596026,0.271523179,1508,80,1.77974819,1,0,1508,302,0.460264901,99,147.0803,17.49137675,7.34769,0.690647482,0.493377483,0.621212121,115.3733333,120.9333333,-197.775,ARA
00430.txt,325,0.018461538,0.064615385,3.768729642,0.258461538,80.88888889,4.833333333,1.967637023,5,36.80411947,1488,18.05555556,0.553846154,0,4.913314691,7.830458915,6.791328859,0.383333333,0.326153846,0.314285714,5.200894855,8.501416853,87.26198359,ARA
00448.txt,365,0.01369863,0.090410959,4.136363636,0.282191781,127.7857143,6.285714286,2.353342971,5,60.68793546,1806,26.07142857,0.501369863,6,10.75970399,9.866065623,9.581705706,0.584699454,0.471232877,0.513888889,9.526068211,12.15692836,69.13033784,ARA
00453.txt,387,0.031007752,0.118863049,3.614775726,0.266149871,213.25,13.375,2.238872959,3,140.1853684,1716,48.375,0.400516796,10,18.09442537,11.21583836,7.443450746,0.651612903,0.42118863,0.620253165,15.46483209,18.89925373,58.77127799,ARA
00477.txt,589,0.028862479,0.064516129,4.517793594,0.322580645,110.2857143,5.535714286,2.70307656,7,62.03044019,3124,21.03571429,0.485568761,6,9.17825693,10.81482108,10.50704478,0.811188811,0.533106961,0.677777778,8.541012793,11.9108742,67.92328358,ARA
00495.txt,269,0.003717472,0.066914498,4.149812734,0.304832714,275.4,15.2,2.211654092,6,112.7450221,1389,53.8,0.546468401,99,24.50252874,14.22497216,9.001130268,0.591836735,0.479553903,0.6,20.7725977,24.0983908,39.10717241,ARA
00496.txt,410,0.012195122,0.112195122,4.07518797,0.32195122,184,11.81818182,1.862265013,4,79.27168473,2064,37.27272727,0.463414634,9,15.89143673,8.720775535,8.24828392,0.489473684,0.336585366,0.618421053,12.95960256,15.67875742,66.59236409,ARA
00505.txt,367,0.005449591,0.081743869,3.946022727,0.269754768,115.2666667,7.2,2.209210081,2,81.03700115,1746,24.46666667,0.479564033,6,8.987876106,9.633249581,8.107359882,0.534090909,0.376021798,0.461538462,8.121935103,11.63587021,77.08538053,ARA
00524.txt,333,0.042042042,0.084084084,4.667701863,0.276276276,166.4545455,8.363636364,2.810497237,5,45.03405507,1851,30.27272727,0.459459459,11,14.89662338,13.70259102,12.12002273,0.588235294,0.42042042,0.607142857,13.10662338,16.65454545,50.96564935,ARA
00544.txt,242,0.020661157,0.049586777,4.371308017,0.268595041,253.6,13.4,2.415949896,3,143.1706674,1272,48.4,0.458677686,99,22.54896104,14.22497216,10.30971861,0.648648649,0.491735537,0.673913043,18.77432035,22.11636364,42.74719481,ARA
00558.txt,337,0.011869436,0.083086053,4.015625,0.255192878,93.52941176,5.705882353,2.349815069,4,37.27342161,1633,19.82352941,0.489614243,5,7.090948891,9.642111642,8.648160656,0.612121212,0.427299703,0.556962025,6.959845709,10.45515911,77.11913211,ARA
00559.txt,142,0.021126761,0.021126761,3.971428571,0.274647887,340,19,2.588278129,2,188,681,71,0.436619718,99,29.49521008,16.96424004,10.68020168,0.693548387,0.507042254,0.727272727,24.57130252,28.1697479,24.87443277,ARA
00560.txt,230,0.02173913,0.130434783,4.573991031,0.365217391,154.125,8,2.539843175,4,71.64048698,1246,28.75,0.495652174,9,14.19286232,12.48683298,12.56862802,0.675438596,0.5,0.733333333,11.65970411,14.98768116,57.5544837,ARA
00573.txt,319,0.015673981,0.062695925,4.139240506,0.297805643,406.5,23.5,2.144962761,4,45.67548577,1643,79.75,0.504702194,99,36.58373786,15.5499004,8.446174757,0.577639752,0.457680251,0.49122807,29.46889159,33.6184466,21.37576456,ARA
00604.txt,16,0.0625,0.0625,3.6,0.25,68,4,2.388863049,1,0,68,16,0.375,0,3.400714286,8.477225575,6.497642857,1,1,1,5.041428571,8.457142857,83.85357143,ARA
00615.txt,168,0.041666667,0.035714286,4.279503106,0.220238095,120.2857143,7,2.351717174,4,72.54302031,855,24,0.476190476,7,10.19200568,8.855400438,10.25628477,0.625,0.523809524,0.59375,8.686433302,10.74777673,71.20622517,ARA
00655.txt,355,0.011267606,0.045070423,4.298550725,0.264788732,180.3,9.4,2.516179111,5,87.87838187,1819,35.5,0.445070423,10,15.88716981,12.79795897,10.98273585,0.708860759,0.498591549,0.709090909,13.39879245,16.74515723,55.63913208,ARA
00666.txt,221,0.004524887,0.058823529,4.376744186,0.253393665,190.6666667,10.5,2.307201789,3,30.21405118,1152,36.83333333,0.49321267,10,17.04129721,10.74596669,11.15464039,0.541284404,0.416289593,0.534883721,13.35770936,15.89786535,59.55525041,ARA
00685.txt,336,0,0.083333333,4.291139241,0.333333333,83.3,5,2.027668729,5,39.80213562,1727,16.8,0.520833333,0,6.679354839,7.242640687,9.659806452,0.525714286,0.375,0.523076923,4.653064516,7.748387097,89.30959677,ARA
00697.txt,315,0.019047619,0.13968254,3.936026936,0.298412698,82.05555556,5.222222222,2.181792202,5,29.63382493,1503,17.5,0.425396825,0,5.677588652,8.773502692,8.302858156,0.694029851,0.444444444,0.609375,5.583829787,9.103546099,82.93333333,ARA
00711.txt,323,0.018575851,0.083591331,3.656862745,0.256965944,83.17647059,5.117647059,1.806823114,5,28.9812014,1435,19,0.455108359,0,4.95165066,7.200840252,6.377479592,0.517006803,0.393188854,0.450704225,5.362869148,8.278191277,87.41616447,ARA
00743.txt,301,0.019933555,0.079734219,3.870629371,0.26910299,92.93333333,5.333333333,1.903450388,3,54.02279354,1487,20.06666667,0.488372093,0,6.439892473,6.741657387,7.422060932,0.517006803,0.401993355,0.444444444,6.170810036,8.443584229,83.94954839,ARA
00752.txt,285,0.049122807,0.073684211,3.756363636,0.221052632,129.3,7.7,2.087779476,1,57.27835542,1304,28.5,0.428070175,5,9.197042802,7.898979486,6.430622568,0.68852459,0.470175439,0.716981132,8.666463035,11.52513619,78.70280739,ARA
00774.txt,271,0.007380074,0.110701107,4.059055118,0.280442804,76.41176471,4.764705882,1.648327921,1,31.17702552,1315,15.94117647,0.446494465,0,5.242711507,6.253956867,8.322984064,0.52892562,0.383763838,0.636363636,3.989749238,6.862057652,92.75559644,ARA
00782.txt,346,0.031791908,0.115606936,4.163636364,0.349710983,105.1875,6.25,2.496763746,6,64.9925176,1725,21.625,0.445086705,5,8.732435065,9.422616289,9.882538961,0.636363636,0.447976879,0.655172414,7.893474026,10.55714286,72.75663961,ARA
00785.txt,423,0,0.075650118,4.646919431,0.569739953,1191,59.5,2.563132246,1,325,2383,211.5,0.356973995,99,105.9569905,34.93743885,11.57034123,0.622516556,0.449172577,0.56,84.62369668,90.84549763,-135.8337915,ARA
00790.txt,362,0.046961326,0.066298343,4.322946176,0.259668508,185.6,9.4,2.572013318,6,137.4461349,1869,36.2,0.480662983,10,16.51110092,12.48683298,11.20024465,0.545977011,0.417127072,0.581818182,13.61804587,16.74972477,55.67018807,ARA
00791.txt,322,0.00621118,0.074534161,4.19047619,0.295031056,52.27586207,3.275862069,2.514808748,5,31.4816822,1595,11.10344828,0.49068323,0,3.818800493,7.433415434,9.737046429,0.569620253,0.447204969,0.555555556,4.484802956,6.57635468,80.10571429,ARA
00796.txt,459,0.019607843,0.047930283,3.997727273,0.241830065,114.4736842,6.105263158,2.444380256,5,41.85610491,2195,24.15789474,0.446623094,5,9.161238613,10.94719414,8.765127404,0.541463415,0.359477124,0.505617978,9.088851215,12.60404858,68.89693826,ARA
00810.txt,233,0.012875536,0.115879828,4.504504505,0.317596567,100.75,5.25,2.635085085,4,39.81232012,1241,19.41666667,0.472103004,5,9.07053429,10.07106781,11.45164593,0.554545455,0.433476395,0.530612245,7.236949761,10.79441786,74.19823166,ARA
00845.txt,411,0.01216545,0.0486618,4.348837209,0.257907543,84.91666667,4.458333333,2.64032874,7,46.30057295,2107,17.125,0.484184915,0,7.231816239,10.07106781,10.89777208,0.628140704,0.450121655,0.642857143,7.057339744,10.40840456,70.51370192,ARA
00850.txt,348,0.017241379,0.066091954,4.085043988,0.252873563,248.5714286,13.85714286,2.237073473,6,160.584519,1749,49.71428571,0.485632184,99,22.09667509,12.71008312,8.350675516,0.544378698,0.402298851,0.513513514,18.29950274,21.96729878,50.12070796,ARA
00854.txt,335,0.035820896,0.104477612,3.996835443,0.250746269,78.65,4.7,2.073794324,3,31.11635422,1625,16.75,0.495522388,0,5.366736334,8.61248608,7.987073955,0.518072289,0.394029851,0.477777778,5.082217042,8.92096463,86.32184646,ARA
00856.txt,472,0.021186441,0.084745763,4.227876106,0.26059322,111.0952381,6,2.537998288,6,54.77043412,2360,22.47619048,0.436440678,7,9.589396299,10.36788398,10.42570379,0.597087379,0.423728814,0.565217391,8.437190251,11.63999097,70.36392575,ARA
00891.txt,335,0.032835821,0.062686567,4.128834356,0.274626866,184.3333333,9.333333333,2.354078146,8,71.18208264,1667,37.22222222,0.504477612,9,15.93438467,11.75595036,8.97146519,0.686390533,0.537313433,0.648648649,13.48814346,16.95583685,60.8959564,ARA
00901.txt,342,0.01754386,0.052631579,4.419161677,0.307017544,226,11.875,2.185497494,5,111.8972743,1819,42.75,0.535087719,99,20.23126506,11.21583836,10.35010843,0.683060109,0.511695906,0.6875,16.19801205,18.7686747,52.84683735,ARA
00902.txt,347,0.023054755,0.089337176,4.765957447,0.285302594,105.0555556,5.388888889,2.714913626,4,30.21124188,1911,19.27777778,0.472622478,8,10.31937393,11.85061203,12.68336223,0.743902439,0.515850144,0.684210526,9.382327141,12.99821121,59.7569926,ARA
00922.txt,340,0.017647059,0.055882353,4.844036697,0.258823529,146.2307692,6.769230769,2.601485033,3,83.94975956,1918,26.15384615,0.488235294,9,13.65748701,12.24037961,13.11958521,0.63253012,0.473529412,0.682539683,11.53485531,14.32807321,54.97301261,ARA
00930.txt,185,0.021621622,0.081081081,4.283236994,0.324324324,76.41666667,4.583333333,1.810568504,4,30.52719644,939,15.41666667,0.556756757,0,6.008035714,7.74341649,9.758178571,0.514563107,0.443243243,0.571428571,3.987857143,7.742857143,91.40714286,ARA
00937.txt,364,0.021978022,0.065934066,4.426934097,0.274725275,125.6,6.6,2.679320585,4,62.2819396,1900,24.26666667,0.513736264,6,10.74477477,11.1240384,10.55451952,0.518716578,0.409340659,0.6,10.04157357,12.84396396,62.61010811,ARA
00943.txt,401,0.014962594,0.072319202,4.201044386,0.259351621,109.1111111,5.944444444,2.627192399,6,46.23357232,1986,22.27777778,0.466334165,7,9.412062147,11.06225775,10.4719096,0.663101604,0.421446384,0.608108108,8.746666667,12.27344633,67.38180791,ARA
00965.txt,335,0.026865672,0.053731343,3.965517241,0.220895522,98.5,5.75,2.020754918,6,34.84429652,1598,20.9375,0.450746269,0,7.29534164,9.123724357,7.968173633,0.57615894,0.388059701,0.547945205,6.788052653,10.34734727,81.01590535,ARA
01002.txt,345,0.008695652,0.07826087,4.389728097,0.313043478,125.8571429,6.571428571,2.435094045,5,70.58010357,1797,24.64285714,0.51884058,6,11.10142857,11.01783726,11.12557792,0.687150838,0.484057971,0.666666667,9.732207792,12.6961039,64.47188312,ARA
01029.txt,320,0.01875,0.0875,4.064935065,0.3125,129.75,7.666666667,2.097231709,6,44.78304181,1624,26.66666667,0.509375,5,10.35590909,8.477225575,8.473818182,0.527607362,0.40625,0.53125,8.723106061,11.51616162,76.60465909,ARA
01035.txt,261,0.01532567,0.038314176,3.979919679,0.283524904,104.25,6.166666667,2.077706875,5,56.4950219,1274,21.75,0.509578544,0,7.769699454,8.477225575,8.001245902,0.646616541,0.463601533,0.568627451,7.041639344,10.10054645,80.79338798,ARA
01036.txt,115,0.008695652,0.052173913,3.871559633,0.252173913,89.66666667,5.833333333,1.745772968,4,53.94647553,560,19.16666667,0.530434783,0,6.176245955,6.16227766,7.988563107,0.62295082,0.530434783,0.5,4.738009709,7.643365696,91.66908576,ARA
01040.txt,323,0.024767802,0.077399381,4.194267516,0.284829721,178.4444444,9.444444444,2.357499,5,79.18208427,1626,35.88888889,0.510835913,9,15.48697917,11.94427191,10.35723264,0.672727273,0.492260062,0.636363636,12.91013889,16.13333333,59.49875,ARA
01046.txt,462,0.015151515,0.064935065,4.047191011,0.25974026,130.7647059,7.647058824,2.3107025,15,59.43610451,2271,27.17647059,0.476190476,6,10.34608403,8.940885258,8.489116667,0.486363636,0.383116883,0.448275862,8.823389356,11.78711485,75.80710084,ARA
01051.txt,244,0.016393443,0.12295082,4.372294372,0.348360656,95.23076923,5.769230769,2.123852055,5,33.67755209,1284,18.76923077,0.56557377,0,8.275250687,9.793662205,10.57335268,0.442028986,0.409836066,0.518518519,6.406785714,10.46373626,79.81898352,ARA
01063.txt,231,0.025974026,0.077922078,4.550218341,0.264069264,417.3333333,20.66666667,2.464306318,3,123.9820776,1254,77,0.54978355,99,36.57196621,18.8113883,11.50567281,0.653543307,0.558441558,0.545454545,29.69465438,33.54162826,11.0000768,ARA
01077.txt,437,0.009153318,0.064073227,4.126190476,0.290617849,119.3888889,6.722222222,1.993030658,9,50.78181968,2242,24.27777778,0.480549199,5,9.65771859,9.055300708,8.729651332,0.557142857,0.368421053,0.534090909,8.101190476,11.30852838,77.84759954,ARA
01086.txt,502,0.017928287,0.043824701,4.371663244,0.270916335,172.4,8.466666667,2.607731733,6,129.2196064,2623,33.46666667,0.434262948,10,15.16838804,12.05538514,10.91756018,0.665137615,0.426294821,0.679487179,12.89462582,15.77528811,56.87894821,ARA
01091.txt,460,0.017391304,0.05,4.477777778,0.289130435,245.7,12.1,2.613757524,5,177.5916946,2467,46,0.534782609,99,21.72504651,14.74734012,11.28023256,0.711382114,0.486956522,0.670588235,18.22139535,21.47906977,41.01186047,ARA
01102.txt,251,0.019920319,0.067729084,4.550200803,0.266932271,343.25,17.25,2.580139228,6,61.67809579,1379,62.75,0.454183267,99,30.22672414,17.23024947,12.53287931,0.710526316,0.501992032,0.625,24.37396552,27.85517241,23.61758621,ARA
01103.txt,399,0.032581454,0.110275689,4.295039164,0.230576441,125.1875,6.4375,2.302037113,4,78.73866486,2022,24.9375,0.443609023,5,10.96742647,10.5,10.76261064,0.480225989,0.348370927,0.489130435,8.878261555,12.28634454,71.15083771,ARA
01114.txt,498,0.026104418,0.068273092,4.543933054,0.287148594,123.8571429,5.714285714,2.821235006,8,106.801679,2626,23.71428571,0.457831325,8,11.65019582,12.63624112,12.82415187,0.793859649,0.536144578,0.730337079,10.5824032,14.22714731,55.49272586,ARA
01119.txt,353,0.028328612,0.059490085,4.64516129,0.297450425,159.25,7.583333333,2.599382126,4,57.86208459,1929,29.41666667,0.529745042,10,14.82111282,14.18033989,12.59875077,0.636363636,0.504249292,0.611111111,12.79957692,16.98717949,51.53433974,ARA
01124.txt,325,0.030769231,0.08,4.093548387,0.295384615,104.6666667,6.266666667,2.046465952,4,56.90069322,1588,21.66666667,0.544615385,0,8.228434004,8.656854249,8.866694631,0.468926554,0.378461538,0.428571429,7.006993289,10.09431767,80.21060179,ARA
01135.txt,338,0.014792899,0.076923077,4.711656442,0.337278107,141.7692308,7.230769231,2.814781157,5,47.44252206,1860,26,0.485207101,10,13.34750506,10.74596669,13.06862171,0.634146341,0.479289941,0.740740741,10.88065789,12.77489879,58.70422065,ARA
01150.txt,350,0.031428571,0.102857143,3.871257485,0.285714286,102.875,6.5625,2.212826025,6,54.13856643,1696,21.875,0.442857143,5,7.51122549,8.809475019,8.433535948,0.6,0.437142857,0.52,7.563521242,10.00294118,74.89959559,ARA
01154.txt,386,0.018134715,0.069948187,4.013477089,0.240932642,122.8666667,7,2.118416623,6,52.93375315,1863,25.73333333,0.487046632,5,9.888290598,9.480740698,8.733148148,0.574468085,0.411917098,0.488888889,8.563350427,11.75316239,75.34553846,ARA
01175.txt,267,0.018726592,0.06741573,4.375,0.209737828,124.3636364,6.090909091,2.578456418,4,34.10484564,1385,24.27272727,0.483146067,7,10.77298123,10.19848469,10.43063563,0.604651163,0.460674157,0.666666667,9.410187707,12.05874126,67.59019507,ARA
01203.txt,321,0.009345794,0.034267913,4.180064309,0.31152648,145,7.727272727,2.346178667,4,58.40454528,1626,29.18181818,0.54517134,7,12.27961083,11.73862898,9.756839041,0.56,0.414330218,0.5625,10.64423412,14.45379826,66.02903487,ARA
01207.txt,310,0.032258065,0.083870968,4.080536913,0.277419355,125.0833333,7.083333333,2.452274054,4,56.53679972,1516,25.83333333,0.490322581,5,10.21223404,10.74596669,9.075723404,0.618421053,0.448387097,0.589285714,9.392021277,12.80425532,69.5825,ARA
01213.txt,301,0.023255814,0.063122924,4.491166078,0.262458472,84.94444444,4.277777778,2.633521279,6,44.20215206,1553,16.72222222,0.481727575,6,8.261333333,9.055300708,12.47178824,0.627586207,0.445182724,0.645833333,7.149117647,9.117647059,69.03936275,ARA
01216.txt,113,0.017699115,0.079646018,3.818181818,0.265486726,132,6.75,1.663412802,4,82.88546314,610,28.25,0.548672566,0,10.29944444,7.74341649,6.99637037,0.612903226,0.584070796,0.692307692,8.051111111,11.91111111,85.43,ARA
01222.txt,406,0.044334975,0.051724138,4.1675,0.25862069,337.6666667,15.16666667,2.334404367,4,268.5638761,2044,67.66666667,0.5591133,99,28.49382784,11.66025404,8.698467033,0.484581498,0.386699507,0.406593407,22.82,25.91501832,39.50833333,ARA
